						Filtered seawater				Sorted Synechococcus	
31/10/2018	-44.64	174.27	SA1_4	U9122	20	136	CTD-petB-136	CTD-NpetB-136			
31/10/2018	-44.64	174.27	SA1_4	U9122	30	137	CTD-petB-137	CTD-NpetB-137			
31/10/2018	-44.64	174.27	SA1_4	U9122	40	138	CTD-petB-138	CTD-NpetB-138			
31/10/2018	-44.64	174.27	SA1_4	U9122	50	139	CTD-petB-139	CTD-NpetB-139			
25/10/2018	-44.6	174.51	SA1_5	U9103	12					syn-01-10	"10,000"
25/10/2018	-44.6	174.51	SA1_5	U9103	12					syn-01-20	"20,000"
25/10/2018	-44.6	174.51	SA1_5	U9103	40					syn-02-1	"1,000"
25/10/2018	-44.6	174.51	SA1_5	U9103	40					syn-02-5	"5,000"
25/10/2018	-44.6	174.51	SA1_5	U9103	40					syn-02-10	"10,000"
02/11/2018	-44.56	178.48	SA2_1	U9125	05	140	CTD-petB-140	CTD-NpetB-140			
02/11/2018	-44.56	178.48	SA2_1	U9125	12	141	CTD-petB-141	CTD-NpetB-141			
02/11/2018	-44.56	178.48	SA2_1	U9125	20	142	CTD-petB-142	CTD-NpetB-142			
02/11/2018	-44.56	178.48	SA2_1	U9125	30	143	CTD-petB-143	CTD-NpetB-143			
02/11/2018	-44.56	178.48	SA2_1	U9125	40	144	CTD-petB-144	CTD-NpetB-144			
02/11/2018	-44.56	178.48	SA2_1	U9125	60	145	CTD-petB-145	CTD-NpetB-145			
05/11/2018	-44.54	179.49	SA2_2	U9136	05	146	CTD-petB-146	CTD-NpetB-146			
05/11/2018	-44.54	179.49	SA2_2	U9136	12	147	CTD-petB-147	CTD-NpetB-147		syn-38	"2,000"
05/11/2018	-44.54	179.49	SA2_2	U9136	20	148	CTD-petB-148	CTD-NpetB-148			
05/11/2018	-44.54	179.49	SA2_2	U9136	30	149	CTD-petB-149	CTD-NpetB-149			
05/11/2018	-44.54	179.49	SA2_2	U9136	40	150	CTD-petB-150	CTD-NpetB-150			
05/11/2018	-44.54	179.49	SA2_2	U9136	60	151	CTD-petB-151	CTD-NpetB-151			
03/11/2018	-44.57	178.68	SA2_3	U9128	12					syn-23	"2,000"
03/11/2018	-44.57	178.68	SA2_3	U9128	40					syn-30	"2,000"
05/11/2018	-44.6	179.18	SA2_4	U9133	12					syn-33	"2,000"
16/11/2018	-45.56	179.52	SA3_1	U9161	05	176	CTD-petB-176	CTD-NpetB-176			
16/11/2018	-45.56	179.52	SA3_1	U9161	12	177	CTD-petB-177	CTD-NpetB-177		syn-79	"2,000"
16/11/2018	-45.56	179.52	SA3_1	U9161	25	178	CTD-petB-178	CTD-NpetB-178			
16/11/2018	-45.56	179.52	SA3_1	U9161	45	179	CTD-petB-179	CTD-NpetB-179			
16/11/2018	-45.56	179.52	SA3_1	U9161	70	180	CTD-petB-180	CTD-NpetB-180		syn-84	"2,000"
18/11/2018	-45.55	179.51	SA3_2	U9171	05	181	CTD-petB-181	CTD-NpetB-181			
18/11/2018	-45.55	179.51	SA3_2	U9171	12	182	CTD-petB-182	CTD-NpetB-182			
18/11/2018	-45.55	179.51	SA3_2	U9171	30	183	CTD-petB-183	CTD-NpetB-183			
18/11/2018	-45.55	179.51	SA3_2	U9171	50	184	CTD-petB-184	CTD-NpetB-184			
18/11/2018	-45.55	179.51	SA3_2	U9171	60	185	CTD-petB-185	CTD-NpetB-185			
18/11/2018	-45.55	179.51	SA3_2	U9171	70	186	CTD-petB-186	CTD-NpetB-186			
10/11/2018	-42.78	178.41	ST1_1	U9148	05	158	CTD-petB-158	CTD-NpetB-158			
10/11/2018	-42.78	178.41	ST1_1	U9148	12	159	CTD-petB-159	CTD-NpetB-159			
10/11/2018	-42.78	178.41	ST1_1	U9148	20	160	CTD-petB-160	CTD-NpetB-160			
10/11/2018	-42.78	178.41	ST1_1	U9148	30	161	CTD-petB-161	CTD-NpetB-161			
10/11/2018	-42.78	178.41	ST1_1	U9148	40	162	CTD-petB-162	CTD-NpetB-162			
10/11/2018	-42.78	178.41	ST1_1	U9148	50	163	CTD-petB-163	CTD-NpetB-163			
07/11/2018	-42.66	178	ST1_2	U1938	05	152	CTD-petB-152	CTD-NpetB-152			
07/11/2018	-42.66	178	ST1_2	U1938	12	153	CTD-petB-153	CTD-NpetB-153			
07/11/2018	-42.66	178	ST1_2	U1938	20	154	CTD-petB-154	CTD-NpetB-154			
07/11/2018	-42.66	178	ST1_2	U1938	25	155	CTD-petB-155	CTD-NpetB-155			
07/11/2018	-42.66	178	ST1_2	U1938	30	156	CTD-petB-156	CTD-NpetB-156			
07/11/2018	-42.66	178	ST1_2	U1938	40	157	CTD-petB-157	CTD-NpetB-157			
08/11/2018	-42.74	178.09	ST1_3	U1941	12					syn-43	"2,000"
08/11/2018	-42.74	178.09	ST1_3	U1941	25					syn-46	"2,000"
09/11/2018	-42.79	178.27	ST1_4	U9144	12					syn-50	"2,000"
09/11/2018	-42.79	178.27	ST1_4	U9144	40					syn-55	"2,000"
12/11/2018	-42.78	178.41	ST2_1	U9149	05	164	CTD-petB-164	CTD-NpetB-164			
12/11/2018	-42.78	178.41	ST2_1	U9149	12	165	CTD-petB-165	CTD-NpetB-165		syn-60	"2,000"
12/11/2018	-42.78	178.41	ST2_1	U9149	20	166	CTD-petB-166	CTD-NpetB-166			
12/11/2018	-42.78	178.41	ST2_1	U9149	30	167	CTD-petB-167	CTD-NpetB-167		syn-64	"2,000"
12/11/2018	-42.78	178.41	ST2_1	U9149	40	168	CTD-petB-168	CTD-NpetB-168			
12/11/2018	-42.78	178.41	ST2_1	U9149	50	169	CTD-petB-169	CTD-NpetB-169			
15/11/2018	-43.73	-179.82	ST2_2	U9159	05	170	CTD-petB-170	CTD-NpetB-170			
15/11/2018	-43.73	-179.82	ST2_2	U9159	12	171	CTD-petB-171	CTD-NpetB-171			
15/11/2018	-43.73	-179.82	ST2_2	U9159	20	172	CTD-petB-172	CTD-NpetB-172			
15/11/2018	-43.73	-179.82	ST2_2	U9159	30	173	CTD-petB-173	CTD-NpetB-173			
15/11/2018	-43.73	-179.82	ST2_2	U9159	40	174	CTD-petB-174	CTD-NpetB-174			
15/11/2018	-43.73	-179.82	ST2_2	U9159	50	175	CTD-petB-175	CTD-NpetB-175			
13/11/2018	-43.47666667	179.9428333	ST2_3	U9152	12					syn-69	"2,000"
13/11/2018	-43.47666667	179.9428333	ST2_3	U9152	40					syn-74	"2,000"
